id,item_num,key_field,qty,name,category,serial_no,turnover_ytd,turnover_ltd,repair_cost_ytd,sell_price,current_store,inactive,pos_store_code,rfid_rental_class_num
1,66241,,0,U-BOLT KIT,Parts - Internal Repair/Maint Order,,0.0,0.0,0.0,0.0,2.0,0,,
5,2710,,0,"POSI GRIP 1/2"" RATCHET","Sales, Equip. Related",,0.0,0.0,0.0,45.0,1.0,0,,
6,2709,,0,POSI GRIP SET OF WRENCHS,"Sales, Equip. Related",,0.0,3.0,0.0,69.5,1.0,0,,
22,22,,0,"BAR, 4' ROLLING TUB",Coolers,,0.0,58.0,0.0,0.0,1.0,0,,
23,4127,,0,"BAR, 4' TRAVEL BAR",Coolers,,0.0,36.0,0.0,0.0,1.0,0,,
24,4128,,0,"BAR, 4' BACK BAR",Coolers,,0.0,13.0,0.0,0.0,1.0,0,,
42,2655,,0,"SANDPAPER,  4"" BELT","Sales, Equip. Related",,0.0,714.0,0.0,4.0,1.0,0,,
88,3065,,0,"CHAFER, 8 QT ELECTRIC",Food/Drink Service,,0.0,17.0,0.0,0.0,1.0,0,,
92,62634,,0,"CHAFER, FULLSIZE, STAINLESS STEEL",Food/Drink Service,,9.0,54.0,0.0,176.0,3.0,0,,
93,68203,,0,"CHAFER, FULLSIZE, ROLLTOP, STAINLESS",EVENT - Beverage & Food Service,,0.0,0.0,0.0,0.0,0.0,0,,
94,68209,,0,"CHAFER, FULLSIZE, ROLLTOP, STAINLESS",EVENT - Beverage & Food Service,,16.0,16.0,0.0,0.0,1.0,0,,
95,62636,,0,"CHAFER, FULLSIZE, ROLLTOP, STAINLESS 8QT",Food/Drink Service,,42.0,247.0,0.0,0.0,3.0,0,,
96,68205,,0,"CHAFER, FULLSIZE, ROLLTOP, STAINLESS",EVENT - Beverage & Food Service,,15.0,53.0,0.0,0.0,4.0,0,,
98,68202,,0,* STAINLESS FULLSIZE WATER PAN,EVENT - Beverage & Food Service,,0.0,0.0,0.0,0.0,0.0,0,,
99,68489,,0,* STAINLESS FULLSIZE WATER PAN,EVENT - Beverage & Food Service,,16.0,26.0,0.0,0.0,1.0,0,,
100,62645,,0,* STAINLESS FULLSIZE WATER PAN,Food/Drink Service,,54.0,344.0,0.0,0.0,3.0,0,,
101,68207,,0,* STAINLESS FULLSIZE WATER PAN,EVENT - Beverage & Food Service,,15.0,55.0,0.0,0.0,4.0,0,,
102,68201,,0,"* CRATE, GRAY CHAFER BOX 30""L X 23",EVENT - Beverage & Food Service,,0.0,0.0,0.0,220.0,0.0,0,,
103,68213,,0,"* CRATE, GRAY CHAFER BOX 30""L X 23",EVENT - Beverage & Food Service,,16.0,16.0,0.0,220.0,1.0,0,,
104,61711,,0,"* CRATE, GRAY CHAFER BOX 30""L X 23",Food/Drink Service,,42.0,91.0,0.0,220.0,3.0,0,,
105,68208,,0,"* CRATE, GRAY CHAFER BOX 30""L X 23",EVENT - Beverage & Food Service,,15.0,54.0,0.0,220.0,4.0,0,,
109,68187,,0,"PAN, CHAFER FULLSIZE 4"" DEEP 14-QT",EVENT - Beverage & Food Service,,0.0,0.0,0.0,0.0,0.0,0,,
110,133,,0,"PAN, CHAFER FULLSIZE 4"" DEEP 14-QT",EVENT - Beverage & Food Service,,9.0,9.0,0.0,0.0,1.0,0,,
111,68189,,0,"PAN, CHAFER FULLSIZE 4"" DEEP 14-QT",EVENT - Beverage & Food Service,,2.0,2.0,0.0,0.0,4.0,0,,
112,68491,,0,"PAN, CHAFER, FULLSIZE, 2.5"" DEEP, 8 QT",EVENT - Beverage & Food Service,,0.0,0.0,0.0,0.0,0.0,0,,
113,134,,0,"PAN, CHAFER, FULLSIZE, 2.5"" DEEP, 8 QT",EVENT - Beverage & Food Service,,2.0,676.0,0.0,0.0,1.0,0,,
114,68494,,0,"PAN, CHAFER, FULLSIZE, 2.5"" DEEP, 8 QT",EVENT - Beverage & Food Service,,2.0,17.0,0.0,0.0,4.0,0,,
115,68188,,0,"PAN, CHAFER HALFSIZE 4"" DEEP 8-QT",EVENT - Beverage & Food Service,,0.0,0.0,0.0,0.0,0.0,0,,
116,135,,0,"PAN, CHAFER HALFSIZE 4"" DEEP 8-QT",EVENT - Beverage & Food Service,,0.0,4.0,0.0,0.0,1.0,0,,
117,68190,,0,"PAN, CHAFER HALFSIZE 4"" DEEP 8-QT",EVENT - Beverage & Food Service,,3.0,3.0,0.0,0.0,4.0,0,,
118,68495,,0,"PAN, CHAFER, HALFSIZE 2.5"" DEEP, 4 QT",EVENT - Beverage & Food Service,,0.0,0.0,0.0,0.0,0.0,0,,
119,136,,0,"PAN, CHAFER, HALFSIZE 2.5"" DEEP, 4 QT",EVENT - Beverage & Food Service,,6.0,516.0,0.0,0.0,1.0,0,,
120,68496,,0,"PAN, CHAFER, HALFSIZE 2.5"" DEEP, 4 QT",EVENT - Beverage & Food Service,,4.0,4.0,0.0,0.0,4.0,0,,
129,3210,,0,"CHAIR, STOOL COCKTAIL",Chairs,,0.0,367.0,0.0,0.0,1.0,0,,
131,63093,,0,"CHAIR,  BLACK ALLOYFOLD",Chairs,,9859.0,72497.0,0.0,38.5,3.0,0,,
132,63096,,0,"CHAIR,  WHITE ALLOY-FOLD",Chairs,,5612.0,25913.0,0.0,38.5,3.0,0,,
134,68062,,0,"CHAIR, FOLDING BLACK",EVENT - Chairs & Tables,,0.0,0.0,0.0,11.0,0.0,0,,
135,3382,,0,"CHAIR, FOLDING BLACK",EVENT - Chairs & Tables,,1464.0,82469.0,0.0,11.0,1.0,0,,
137,63094,,0,"CHAIR,  BLACK ON BLACK FOLDING",Chairs,,14262.0,81831.0,0.0,24.75,3.0,0,,
138,68064,,0,"CHAIR, FOLDING BLACK",EVENT - Chairs & Tables,,5687.0,13738.0,0.0,11.0,4.0,0,,
139,68505,,0,"CHAIR, FOLDING BROWN - ER",EVENT - Chairs & Tables,,0.0,0.0,0.0,11.0,0.0,0,,
141,68431,,0,"CHAIR, FOLDING BROWN - Elk River",EVENT - Chairs & Tables,,177.0,2032.0,0.0,11.0,4.0,0,,
142,68506,,0,"CHAIR, FOLDING WHITE (FANBACK)",EVENT - Chairs & Tables,,0.0,0.0,0.0,16.5,0.0,0,,
143,65,,0,"CHAIR, FOLDING WHITE (FANBACK)",EVENT - Chairs & Tables,,62.0,78789.0,0.0,16.5,1.0,0,,
144,72316,,0,"CHAIR, FOLDING WHITE (FANBACK)",EVENT - Chairs & Tables,,890.0,890.0,0.0,16.5,4.0,0,,
146,68079,,0,"CHAIR, GARDEN RESIN PADDED  - WHITE",EVENT - Chairs & Tables,,0.0,0.0,0.0,0.0,0.0,0,,
147,3562,,0,"CHAIR, GARDEN RESIN PADDED  - WHITE",EVENT - Chairs & Tables,,215.0,22446.0,0.0,0.0,1.0,0,,
148,63099,,0,"CHAIR, GARDEN, RESIN PADDED  - WHITE",Chairs,,2266.0,13301.0,0.0,70.4,3.0,0,,
149,68080,,0,"CHAIR, GARDEN RESIN PADDED  - WHITE",EVENT - Chairs & Tables,,188.0,454.0,0.0,0.0,4.0,0,,
156,68507,,0,"CHAIR, FOLDING WHITE",EVENT - Chairs & Tables,,0.0,0.0,0.0,16.5,0.0,0,,
157,72317,,0,"CHAIR, FOLDING WHITE",EVENT - Chairs & Tables,,1296.0,1296.0,0.0,16.5,1.0,0,,
158,68432,,0,"CHAIR, FOLDING WHITE",EVENT - Chairs & Tables,,0.0,1315.0,0.0,16.5,4.0,0,,
162,65105,,0,"CHINA BOWL, WHITE SOUP/SALAD (5)PACK",China Service & Flatware,,36.0,73.0,0.0,0.0,3.0,0,,
166,83,,0,"_CHINA CUP, PLAT/IMPERIAL COFFEE(EACH)",China Service & Flatware,,20.0,1804.0,0.0,5.5,3.0,0,,
168,65089,,0,"CHINA CUP, IMPERIAL COFFEE 20/RACK",China Service & Flatware,,1.0,10.0,0.0,0.0,3.0,0,,
170,65102,,0,"CHINA CUP, WHITE COFFEE 25/RACK",China Service & Flatware,,7.0,19.0,0.0,0.0,3.0,0,,
