rental_class_id,common_name,bin_location,Cat,SubCat
64407,"(LAUNDRY) STEAMER FOR LINEN",,Concession Machines,Steamer Machines
64018,"* BLOWER, VERTICLE 12 AMP - DONT GET WET",,Blowers,Vertical Blowers
66777,"* HEAT DIFFUSER FOR DUCTING",,Heaters,Heat Diffusers
60593,"* HEAT DIFFUSER, AIR (LG HEATER ON",,Heaters,Heat Diffusers
60594,"* HEAT DUCT ASSEMBLY (12X12 , ADA",,Heaters,Heat Ducts
60527," SIDEWALL KEDAR -G 8  x 7.5  PANEL",,Sidewall,Sidewall Sidewall
60529," SIDEWALL KEDAR -R 8  x 7.5  PANEL",,Sidewall,Sidewall Sidewall
65936," SIDEWALL KEDAR WIN-G 8  x 7.5  PANEL",,Sidewall,Sidewall Sidewall
65937," SIDEWALL KEDAR WIN-R 8  x 7.5  PANEL",,Sidewall,Sidewall Sidewall
4051,"Canopy, 10x10 HP",,Frame Tent Tops,Canopy Tops
4293,"Canopy, 20x30 HP Box",,Frame Tent Tops,Canopy Tops
60595,"HEATER THERMOSTAT FOR TENT",,Heaters,Tent Heaters
60580,"AIR CONDITIONER, ROOM, 10K BTU",,Coolers,Air Conditioners
63187,"ARCH, WHITE CAPE WINDS",,Arches,White Arches
63172,"ARCH, WHITE LATTICE",,Arches,White Arches
63232,"BALLOON INFLATOR, ELECTRIC",,Concession Machines,Balloon Machines
62556,"BAR, CAMBRO, BLACK (47H X 55W X 25 D)",,Bars,Cambro Bars
62557,"BAR, COLLAPSIBLE, BLACK (28/47H",,Bars,Collapsible Bars
60534,"BULLHORN MV10S, 16WATT (SMALL)",,AV,Sound Systems/Projectors
60535,"BULLHORN MV10S, 16WATT (SMALL)",,AV,Sound Systems/Projectors
63470,"CABLE PROTECTOR RAMP 36x20x1.75",,Safety Equipment,Cable Protectors
5177,"CANOPY, GUTTER 30  NAVI",,Frame Tent Tops,Gutter Tops
5178,"CANOPY, GUTTER 60  NAVI",,Frame Tent Tops,Gutter Tops
62638,"CHAFING DISH, OVAL 15 X 22 X 1 HA",,Chafers/Fountains,Chafer Fountains
65105,"CHINA BOWL, WHITE SOUP/SALAD (5)PACK",pack,Tableware,China Bowls
65089,"CHINA CUP, IMPERIAL COFFEE 20/RACK",pack,Tableware,China Cups
65102,"CHINA CUP, WHITE COFFEE 25/RACK",pack,Tableware,China Cups
65103,"CHINA MUG, WHITE COFFEE 20/RACK",pack,Tableware,China Mugs
65090,"CHINA PLATE, IMPERIAL B&B 6 in (5) PACK",pack,Tableware,China Plates
65091,"CHINA PLATE, IMPERIAL DINNER 10 in(5) PACK",pack,Tableware,China Plates
65094,"CHINA PLATE, IMPERIAL SALAD 8 in (5) PACK",pack,Tableware,China Plates
65101,"CHINA PLATE, WHITE B&B 6.75 in (5)PACK",pack,Tableware,China Plates
65096,"CHINA PLATE, WHITE DINNER 10.5 in (5)PACK",pack,Tableware,China Plates
65098,"CHINA PLATE, WHITE SALAD 7.75 in (5)PACK",pack,Tableware,China Plates
65104,"CHINA PLATE, WHITE SAUCER 5.75 in (5)PACK",pack,Tableware,China Saucers
62470,"COFFEE  MAKER,  55 CUP, STAINLESS",,Beverage Dispensers,Coffee Makers
62472,"COFFEE  MAKER, 110 CUP, STAINLESS",,Beverage Dispensers,Coffee Makers
62605,"COFFEE CREAM & SUGAR SET",,Beverage Dispensers,Coffee Accessories
62485,"COFFEE SERVER, STAINLESS, 64 OZ, T",,Beverage Dispensers,Coffee Servers
63171,"COLUMN, CORINTHIAN WHITE, 3.3ft HIGH",,Decorations,Columns
63170,"COLUMN, CORINTHIAN WHITE, 4.3FT HIGH",,Decorations,Columns
63173,"COLUMN, CORINTHIAN WHITE, 6FT HIGH",,Decorations,Columns
63186,"COLUMN, CORINTHIAN WHITE, 8FT HIGH",,Decorations,Columns
68310,"COLUMN, GRECIAN WHITE, 2.6FT HIGH",,Decorations,Columns
68311,"COLUMN, GRECIAN WHITE, 3.3FT HIGH",,Decorations,Columns
68312,"COLUMN, GRECIAN WHITE, 6FT HIGH",,Decorations,Columns
3293,"COOLER BEVERAGE, 5 GAL IGLOO GOTT",,Beverage Dispensers,Beverage Coolers
62510,"COOLER, CHEST, 150 QT, 248 CAN CAP",,Coolers,Chest Coolers
62514,"COOLER, CONCESSION, BAR STYLE, BLUE",,Coolers,Concession Coolers
68304,"COOLER, CONCESSION, WITH LID, BLUE",,Coolers,Concession Coolers
68305,"COOLER, CONCESSION, WITH LID, RED",,Coolers,Concession Coolers
68306,"COOLER, INSULATED STOCK TANK, RED",,Coolers,Stock Tank Coolers
62967,"COOLER, SUPER (BLUE) 24.5 ROUND",,Coolers,Super Coolers
63780,"COTTON CANDY CONE TRAY, HOLDS 8, ALUM",,Concession Machines,Cotton Machines
63782,"COTTON CANDY MACHINE BUBBLE (26 P",,Concession Machines,Cotton Machines
63396,"DANCE FLOOR SICO WOOD LOOK 4 X4",,Dance Floors,Wood Dance Floors
4810,"DANCE FLOOR 36 SMOKED OAK TILE WILL CAL",,Dance Floors,Oak Dance Floors
4155,"DANCE FLOOR, BIRCH 4  x 4",,Dance Floors,Birch Dance Floors
63391,"DANCE FLOOR, BLACK & WHITE VINYL 3  x 4",,Dance Floors,Vinyl Dance Floors
63392,"DANCEFLOOR CALIFORNIA  4  X 4 BLACK",,Dance Floors,California Dance Floors
72572,"DANCEFLOOR CALIFORNIA  4  X 4 OAK",,Dance Floors,California Dance Floors
72571,"DANCEFLOOR CALIFORNIA  4  X 4 WHITE",,Dance Floors,California Dance Floors
63282,"EASEL, FLIP CHART 27X34, FLOOR",,Easels,Flip Chart Easels
63279,"EASEL, FLIP CHART ATTACHMENT",,Easels,Flip Chart Easels
63280,"EASEL, TRIPOD, ADJUSTABLE TABLETOP",,Easels,Tripod Easels
63281,"EASEL, TRIPOD, FLOOR STANDING",,Easels,Tripod Easels
3631,"FAN, 12 CANOPY POLE WHT",,Fans,Canopy Fans
60575,"FAN, DRUM, 36 BLACK, SINGLE SPEED",,Fans,Drum Fans
68302,"FAN, MISTING, 20",,Fans,Misting Fans
68303,"FAN, MISTING, 20",,Fans,Misting Fans
60577,"FAN, PEDESTAL, 30, ADJUSTABLE HEIGHT",,Fans,Pedestal Fans
62829,"FIRE EXTINGUISHER 3A-40BC",,Safety Equipment,Fire Extinguishers
62830,"FIRE EXTINGUISHER STAND, 48",,Safety Equipment,Fire Extinguisher Stands
4243,"FIRE, EXINGUISHER SIGN",,Safety Equipment,Fire Extinguisher Signs
65698,"FLATWARE FORK, DINNER (10 PACK)",pack,Tableware,Flatware Forks
65699,"FLATWARE FORK, SALAD (10 PACK)",pack,Tableware,Flatware Forks
65700,"FLATWARE KNIFE, DINNER (10 PACK)",pack,Tableware,Flatware Knives
67267,"FLATWARE SPOON, TABLESPOON (10 PACK)",pack,Tableware,Flatware Spoons
65701,"FLATWARE SPOON, TEASPOON (10 PACK)",pack,Tableware,Flatware Spoons
62509,"FOOD TRANSPORT, CAMBRO",,Food Equipment,Food Transports
62533,"FOOD WARMING TABLE, 3 COMPARTMENT",,Food Equipment,Warming Tables
61699,"FORK, COCKTAIL, CHATEAU 6.25(1)",,Tableware,Flatware Forks
72368,"FOUNTAIN, CHOCOLATE W/TRANSPORT CASES",,Concession Machines,Fountain Machines
72396,"FROZEN DRINK MACHINE - OTC DOUBLE UNIT",,Concession Machines,Frozen Machines
63046,"GAME - BEAN BAG TOSS REGULATION (2 X4 )",,Games,Bean Bag Games
63047,"GAME - BEAN BAG TOSS-TAILGATE (2 x3 )",,Games,Bean Bag Games
63051,"GAME - BOCCE BALL SET (LIGHT-UP)",,Games,Bocce Ball Games
