KVC Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Monthly Cashflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% Tot Rev,PEG Target,,,,,,,,,,,,,,,,,
,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,TTM,,,T13_24M,January,February,March,April,May,June,July,August,September,October,November,December,TTM,% Tot Rev,PEG Targets,
,2021,2021,2021,2021,2021,2021,2021,,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,,,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,,,,
Rental Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,"170,863","108,277","130,757","137,757","111,218","79,173","25,246","763,291","12,140","11,198","27,972","31,242","73,373","96,870","68,766","86,467","78,079","92,299","48,061","13,562","640,029","17,325","19,191","18,711","44,007","95,656","78,954","70,498","79,353","63,731","83,715","60,069","35,175","666,385","12,453","24,877","20,226","40,419","61,163","57,450","65,636","61,875","81,427","78,484","48,691","18,271","18,180","20,025","30,290","44,422","77,646","81,245","65,432","625,988",15.3%,,"604,267","15,000","20,000","25,000","40,000","70,000","75,000","75,000","75,000","80,000","80,000","50,000","25,000","630,000",14.1%,,
6800,"109,157","131,319","147,768","138,756","141,833","106,660","72,511","848,004","40,504","40,135","75,230","71,997","125,697","123,474","128,642","123,981","132,179","147,211","98,425","70,212","1,177,687","46,516","38,411","57,613","62,653","125,783","135,366","117,293","116,003","100,452","145,573","94,049","81,782","1,121,494","54,006","43,290","56,457","84,945","130,445","111,912","124,296","147,594","121,956","140,590","88,303","78,361","46,265","31,727","50,309","78,587","111,878","100,752","127,714","1,124,036",27.5%,,"1,143,210","50,000","50,000","60,000","80,000","125,000","125,000","120,000","120,000","120,000","140,000","100,000","85,000","1,175,000",26.2%,,
728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"5,164","5,990","12,302","34,477","49,941","84,837","60,098","52,132","58,295","59,509","37,125","20,749","9,140","8,448","18,572","43,820","63,907","79,725","44,856","496,278",12.1%,,"252,809","7,500","7,500","15,000","40,000","70,000","85,000","60,000","60,000","60,000","60,000","40,000","20,000","525,000",11.7%,,
8101,"171,861","133,705","177,869","149,494","98,186","37,779","21,552","790,446","5,987","21,620","18,181","41,796","94,703","289,948","134,543","183,812","185,180","126,955","28,458","43,444","1,174,627","24,346","28,366","28,445","33,097","146,388","265,206","128,728","198,566","173,521","95,636","42,391","26,985","1,191,675","10,360","18,742","13,710","40,615","161,339","305,266","137,079","158,987","165,851","97,445","28,684","38,107","13,122","33,441","15,974","39,777","74,746","260,082","87,236","1,013,452",24.8%,,"1,224,210","15,000","25,000","25,000","40,000","175,000","300,000","125,000","175,000","175,000","125,000","30,000","40,000","1,250,000",27.9%,,
Sales Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,"25,638","17,312","13,773","13,638","12,352","8,899","6,919","98,531","9,692","9,987","4,456","5,750","7,672","10,832","8,351","5,375","6,071","7,249","5,150","5,964","86,549","4,950","5,170","4,917","5,722","9,511","8,952","9,147","8,870","8,555","8,968","6,669","5,758","87,189","5,960","4,841","4,286","6,486","8,375","7,785","6,442","8,311","7,913","9,247","6,616","7,299","9,473","6,596","4,847","5,315","7,481","7,811","8,313","89,222",2.2%,,"82,995","10,000","10,000","6,000","6,000","8,000","7,500","7,000","7,500","7,500","7,500","5,000","7,500","89,500",2.0%,,
6800,"12,488","12,264","9,121","7,993","11,111","8,593","5,273","66,843","6,038","5,694","9,542","9,347","27,971","7,986","5,494","5,661","7,648","11,712","5,836","5,400","108,329","5,439","4,354","4,830","11,837","12,266","14,950","8,805","11,509","9,988","11,024","8,964","7,246","111,212","5,516","3,317","3,237","5,677","10,269","11,298","11,903","8,687","7,009","10,570","6,389","12,817","2,854","2,874","3,712","6,011","11,057","8,309","10,365","90,654",2.2%,,"99,948","5,000","5,000","5,000","6,000","12,000","12,000","12,000","12,000","12,000","10,000","5,000","6,000","102,000",2.3%,,
