id_item_master, uuid_accounts_fk, tag_id, serial_number, client_name, rental_class_num, common_name, quality, bin_location, status, last_contract_num, last_scanned_by, notes, status_notes, long, lat, date_last_scanned, date_created, date_updated
111175,8747645265972928831,393020535152205748495445,,,62399,"90X90 WHITE LINEN",A,NR4D2,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-17 20:44:22","2025-03-22 03:00:22"
111196,8747645265972928831,1111111100014245524D5544,,,61882,"90 ROUND BERMUDA BLUE NOVA SOLID",A-,NR5x2,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 17:11:30","2025-08-28 17:45:02"
111197,8747645265972928831,1111111100024245524D5544,,,61882,"90 ROUND BERMUDA BLUE NOVA SOLID",A-,NR5x2,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:14:10","2024-12-18 17:15:51","2025-08-28 17:24:39"
111199,8747645265972928831,3930583133322043484F434F,,,62194,"90X132 CHOCOLATE LINEN ROUNDED CO",A,NR3x2,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 17:43:15","2025-01-06 20:19:12"
111200,8747645265972928831,39307831353620424C41434B,,"LAUNDRY ",62236,"90X156 BLACK LINEN ROUNDED CORNER",B+,NR3x2,"Ready to Rent",L25,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 17:46:46","2025-08-28 17:48:22"
111201,8747645265972928831,111111110001454747504C41,,,61912,"108 ROUND EGGPLANT LINEN",A,NR3x1,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 17:46:46","2025-01-06 20:19:03"
111202,8747645265972928831,111111110002454747504C41,,,61912,"108 ROUND EGGPLANT LINEN",A,NR3x1,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 17:56:59","2025-01-06 20:19:03"
111203,8747645265972928831,111111110003454747504C41,,,61912,"108 ROUND EGGPLANT LINEN",A,NR3x1,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 17:58:08","2025-01-06 20:19:04"
111204,8747645265972928831,111111110004454747504C41,,,61912,"108 ROUND EGGPLANT LINEN",A,NR3x1,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 18:08:24","2025-01-06 20:19:04"
111205,8747645265972928831,1111111100012044414D4153,,,62280,"90X156 DAMASK SOMERSET GOLD LINEN",A,NR3x2,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 18:08:24","2025-03-22 03:00:36"
111206,8747645265972928831,1111111100022044414D534B,,,62280,"90X156 DAMASK SOMERSET GOLD LINEN",A,NR3x2,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 18:08:24","2025-01-06 20:19:03"
111207,8747645265972928831,1111111100032044414D4153,,,62280,"90X156 DAMASK SOMERSET GOLD LINEN",A,NR3x2,"Ready to Rent",00000,tim,,", , , , , , , , , , , , , , ",,,"2024-12-18 14:35:34","2024-12-18 18:08:24","2025-01-06 20:19:04"
111209,8747645265972928831,300F4F573AD003C192B0002B,,,61842,"90 ROUND CARDINAL RED LINEN",B,NR5x2,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:14:10","2024-12-18 18:20:39","2025-08-28 17:25:28"
111211,8747645265972928831,300F4F573AD003C092C7AE83,,,62126,"60X120 OCEAN BLUE LINEN",B+,NR4x1,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 18:40:53","2025-08-28 17:45:38"
111212,8747645265972928831,300F4F573AD003C092CC0F2B,,"LAUNDRY ",62126,"60X120 OCEAN BLUE LINEN",B+,NR4x1,"Ready to Rent",L13,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 18:40:53","2025-08-28 17:45:38"
111213,8747645265972928831,300F4F573AD003C092CC1ECA,,"LAUNDRY ",62126,"60X120 OCEAN BLUE LINEN",B+,NR4x1,"Ready to Rent",L3,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 18:40:53","2025-08-28 17:45:39"
111214,8747645265972928831,300F4F573AD003C092CC1EFA,,,62126,"60X120 OCEAN BLUE LINEN",B+,NR4x1,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 18:40:53","2025-08-28 17:45:42"
111215,8747645265972928831,300F4F573AD003C092CC1F18,,"LAUNDRY ",62126,"60X120 OCEAN BLUE LINEN",B+,NR4x1,"Ready to Rent",L13,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 18:40:53","2025-08-28 17:45:44"
111216,8747645265972928831,33155C66A400000000093748,,,62126,"60X120 OCEAN BLUE LINEN",B+,NR4x1,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 18:40:53","2025-08-28 17:48:20"
111217,8747645265972928831,33155C66A4000000000937AB,,,62126,"60X120 OCEAN BLUE LINEN",B+,NR4x1,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:26:56","2024-12-18 18:40:53","2025-08-28 17:48:22"
111218,8747645265972928831,300F4F573AD003C092AC6113,,,61834,"90 ROUND BYZANTINE FALL GOLD LINE",A-,NR5x2,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:14:10","2024-12-18 18:43:50","2025-08-28 17:25:15"
111219,8747645265972928831,300F4F573AD003C092AC612D,,,61834,"90 ROUND BYZANTINE FALL GOLD LINE",A-,NR5x2,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:14:10","2024-12-18 18:43:50","2025-08-28 17:25:15"
111220,8747645265972928831,300F4F573AD003C192B6002E,,,61834,"90 ROUND BYZANTINE FALL GOLD LINE",A-,NR5x2,"Ready to Rent",00000,David,,", , , , , , , , , , , , , , ",0.0,0.0,"2025-08-28 12:14:10","2024-12-18 18:43:50","2025-08-28 17:25:30"
