,Group Name,Status,Title,Description,Owner,Goal,Average,Total,Dec 30 - Jan 05,Dec 23 - Dec 29,Dec 16 - Dec 22,Dec 09 - Dec 15,Dec 02 - Dec 08,Nov 25 - Dec 01,Nov 18 - Nov 24,Nov 11 - Nov 17,Nov 04 - Nov 10,Oct 28 - Nov 03,Oct 21 - Oct 27,Oct 14 - Oct 20,Oct 07 - Oct 13,Sep 30 - Oct 06,Sep 23 - Sep 29,Sep 16 - Sep 22,Sep 09 - Sep 15,Sep 02 - Sep 08,Aug 26 - Sep 01,Aug 19 - Aug 25,Aug 12 - Aug 18,Aug 05 - Aug 11,Jul 29 - Aug 04,Jul 22 - Jul 28,Jul 15 - Jul 21,Jul 08 - Jul 14,Jul 01 - Jul 07,Jun 24 - Jun 30,Jun 17 - Jun 23,Jun 10 - Jun 16,Jun 03 - Jun 09,May 27 - Jun 02,May 20 - May 26,May 13 - May 19,May 06 - May 12,Apr 29 - May 05,Apr 22 - Apr 28,Apr 15 - Apr 21,Apr 08 - Apr 14,Apr 01 - Apr 07,Mar 25 - Mar 31,Mar 18 - Mar 24,Mar 11 - Mar 17,Mar 04 - Mar 10,Feb 26 - Mar 03,Feb 19 - Feb 25,Feb 12 - Feb 18,Feb 05 - Feb 11,Jan 29 - Feb 04,Jan 22 - Jan 28,Jan 15 - Jan 21,Jan 08 - Jan 14,Jan 01 - Jan 07
1,Weekly,at-risk,"Total Weekly Revenue
",Total weekly revenue: Program Menu&gt;End of Day Processing&gt;Contracts Posted Report&gt;Dates Monday to Sunday&gt;Generate&gt;Total at end of report very bottom right,Chad Wagner,">= $100,000","$82,875.87",-,"$26,708","$21,019","$57,723","$60,615","$55,678","$52,166","$51,267","$76,292","$64,553","$79,891","$84,370","$137,444","$119,281","$86,331","$125,974","$146,588","$125,848","$111,630","$117,595","$130,821","$146,061","$125,326","$135,709","$110,049","$102,328","$78,343","$91,840","$185,433","$172,244","$188,582","$179,236","$114,438","$118,875","$91,276","$142,406","$70,266","$75,596","$68,894","$56,108","$34,718","$23,187","$30,690","$39,302","$35,698","$32,424","$28,450","$29,189","$34,610","$27,977","$22,583","$16,652","$30,398","$21,739"
2,Weekly,at-risk,3607 Total Weekly Revenue,Total weekly revenue: Program Menu&gt;End of Day Processing&gt;Contracts Posted Report&gt;Dates Monday to Sunday&gt;Generate&gt;Total at end of report very bottom right,Tyler Dillon,">= $15,000","$14,167.89","$750,898.00","$8,026","$4,295","$7,253","$5,547","$7,116","$14,358","$13,064","$15,704","$14,944","$15,225","$24,419","$20,023","$23,645","$22,135","$21,942","$26,151","$24,253","$24,319","$16,242","$19,029","$17,967","$16,917","$20,730","$13,228","$20,221","$13,244","$24,087","$20,883","$12,415","$23,649","$18,872","$17,177","$15,084","$21,264","$16,363","$15,372","$18,756","$13,764","$10,816","$7,759","$4,669","$7,802","$6,837","$8,081","$7,113","$8,729","$5,652","$12,346","$5,466","$5,093","$3,546","$4,895","$4,411"
3,Weekly,at-risk,6800 - Total Weekly Revenue,Total weekly revenue: Program Menu&gt;End of Day Processing&gt;Contracts Posted Report&gt;Dates Monday to Sunday&gt;Generate&gt;Total at end of report very bottom right,Zack Peterson,">= $30,000","$27,395.04","$1,451,937.00","$11,928","$8,997","$18,172","$37,887","$31,613","$27,400","$17,037","$32,188","$23,418","$34,483","$32,199","$41,106","$33,158","$24,902","$31,880","$49,372","$37,779","$30,278","$33,334","$47,356","$46,081","$38,655","$34,500","$38,655","$38,015","$35,535","$22,639","$41,158","$43,628","$28,045","$32,171","$37,119","$32,802","$34,183","$33,107","$33,689","$29,802","$22,409","$21,655","$20,551","$12,089","$11,256","$20,046","$19,413","$14,755","$12,459","$10,748","$12,002","$15,363","$11,820","$7,834","$23,277","$11,989"
4,Weekly,at-risk,728 - Total Weekly Revenue,Total weekly revenue: Program Menu&gt;End of Day Processing&gt;Contracts Posted Report&gt;Dates Monday to Sunday&gt;Generate&gt;Total at end of report very bottom right,Bruce Volk,">= $15,000","$11,911.47","$631,308.00","$2,747","$3,686","$7,579","$7,185","$7,002","$7,823","$10,372","$17,094","$13,513","$18,156","$18,218","$19,734","$13,412","$14,423","$22,385","$17,272","$16,950","$13,771","$12,718","$18,299","$15,437","$19,006","$14,427","$13,754","$18,542","$12,390","$21,335","$25,517","$24,894","$37,790","$26,232","$15,491","$18,075","$16,237","$15,836","$9,671","$12,539","$13,477","$13,215","$1,364","$1,364","$3,374","$3,374","$2,526","$2,526","$1,422","$1,422","$1,796","$1,796","$1,076","$1,076",$994,$994
5,Weekly,on-track,8101 - Total Weekly Revenue,Total weekly revenue: Program Menu&gt;End of Day Processing&gt;Contracts Posted Report&gt;Dates Monday to Sunday&gt;Generate&gt;Total at end of report very bottom right,Tim Sandahl,">= $40,000","$28,216.49","$1,495,474.00","$4,006","$4,040","$24,718","$9,997","$9,947","$3,312","$10,793","$11,317","$12,678","$12,028","$9,534","$56,581","$49,066","$24,870","$49,767","$53,793","$46,867","$43,260","$47,482","$43,136","$66,576","$50,748","$59,791","$49,405","$24,029","$16,135","$22,260","$91,093","$86,088","$92,143","$95,999","$41,413","$50,981","$25,953","$74,968","$10,886","$13,559","$18,035","$9,755","$2,732","$4,736","$5,775","$6,488","$3,526","$8,138","$4,470","$8,174","$6,926","$4,038","$3,784","$3,596","$3,241","$2,841"
6,Weekly,off-track,"# New Open Contracts 3607
",# New Contracts Opened: Program Menu&gt;Analysis Reports&gt;Transaction Analysis&gt;Contracts Opened per Day&gt;Dates Monday to Sunday&gt;Select Store&gt;Generate&gt;Total Opened Contracts,Tyler Dillon,> 130,119.79,-,68,51,84,87,80,91,113,129,114,126,162,164,192,164,187,146,162,184,157,126,154,133,127,132,145,131,134,146,116,151,172,143,154,207,191,141,143,113,154,106,60,64,81,75,76,78,65,64,42,63,79,62,60
7,Weekly,off-track,"# New Open Contracts 6800
",# New Contracts Opened: Program Menu&gt;Analysis Reports&gt;Transaction Analysis&gt;Contracts Opened per Day&gt;Dates Monday to Sunday&gt;Select Store&gt;Generate&gt;Total Opened Contracts,Zack Peterson,> 130,114.57,-,46,38,55,80,97,81,95,102,105,135,143,165,171,141,136,158,153,162,154,169,126,163,141,156,139,150,108,169,140,166,144,130,156,165,175,144,130,110,121,86,50,55,105,83,72,62,63,70,72,66,43,65,61
8,Weekly,off-track,#New Open Contracts 728,# New Contracts Opened: Program Menu&gt;Analysis Reports&gt;Transaction Analysis&gt;Contracts Opened per Day&gt;Dates Monday to Sunday&gt;Select Store&gt;Generate&gt;Total Opened Contracts,Bruce Volk,> 85,83.3,-,30,19,41,28,50,46,68,88,76,93,129,109,102,100,125,95,127,106,102,85,95,88,92,114,112,106,89,94,102,122,137,123,125,165,170,113,144,109,127,92,27,39,79,77,44,30,37,31,30,26,16,19,22
9,Weekly,off-track,"# New Open Contracts 8101
",# New Contracts Opened: Program Menu&gt;Analysis Reports&gt;Transaction Analysis&gt;Contracts Opened per Day&gt;Dates Monday to Sunday&gt;Select Store&gt;Generate&gt;Total Opened Contracts,Tim Sandahl,>= 55,58.38,"3,094",12,18,23,28,47,19,35,30,33,32,32,28,26,39,33,60,47,66,47,57,58,79,72,62,67,80,32,92,101,111,104,88,114,97,108,89,100,104,72,114,52,52,56,57,72,61,60,50,46,32,42,28,30
10,Weekly,off-track,"# Deliveries Scheduled next 7 days Weds-Tues 8101
",# Deliveries Scheduled: Program Menu&gt;Counter System&gt;Day at a Glance&gt;Deliveries&gt;Set calendar to Weds &amp; 7 days view&gt;Records lower left corner-L tickets need to be counted for multi truck orders,Tim Sandahl,>= 12,9.13,-,1,1,0,8,10,6,2,3,4,6,4,7,5,12,19,11,17,10,16,8,7,16,15,12,15,10,9,6,11,25,33,40,39,8,18,8,12,4,7,1,4,5,3,4,3,1,3,3,3,3,2,2,2
