id_seed_data, uuid_seed_data, uuid_accounts_fk, rental_class_id, common_name, bin_location, date_created, date_updated
65562,8747645265972968056,8747645265972928831,61885,"108 ROUND WHITE LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65563,8747645265972968057,8747645265972928831,61914,"108 ROUND AMETHYST LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65564,8747645265972968058,8747645265972928831,61890,"108 ROUND BEIGE LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65565,8747645265972968059,8747645265972928831,61886,"108 ROUND BLACK LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65566,8747645265972968060,8747645265972928831,61908,"108 ROUND BURGUNDY LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65567,8747645265972968061,8747645265972928831,61901,"108 ROUND CARDINAL RED LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65568,8747645265972968062,8747645265972928831,61925,"108 ROUND CELADON (SAGE) LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65569,8747645265972968064,8747645265972928831,61891,"108 ROUND CHOCOLATE LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65570,8747645265972968065,8747645265972928831,61912,"108 ROUND EGGPLANT LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65571,8747645265972968066,8747645265972928831,61910,"108 ROUND GRAPE (PURPLE) LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65572,8747645265972968067,8747645265972928831,61887,"108 ROUND GREY LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65574,8747645265972968069,8747645265972928831,61889,"108 ROUND IVORY LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65577,8747645265972968072,8747645265972928831,61893,"108 ROUND MAIZE LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65581,8747645265972968076,8747645265972928831,61904,"108 ROUND PASTEL PINK LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65582,8747645265972968077,8747645265972928831,61896,"108 ROUND PEACH LINEN",NR3x1,"2024-12-17 19:51:36","2024-12-17 19:51:36"
65583,8747645265972968078,8747645265972928831,61888,"108 ROUND PEWTER LINEN",NR3x1,"2024-12-17 19:51:37","2024-12-17 19:51:37"
65584,8747645265972968079,8747645265972928831,61905,"108 ROUND PINK LINEN",NR3x1,"2024-12-17 19:51:37","2024-12-17 19:51:37"
65585,8747645265972968080,8747645265972928831,61895,"108 ROUND POPPY LINEN",NR3x1,"2024-12-17 19:51:37","2024-12-17 19:51:37"
65588,8747645265972968083,8747645265972928831,61979,"120 ROUND  WHITE NOVA SWIRL LINEN",NR5x1,"2024-12-17 19:51:37","2024-12-17 19:51:37"
65589,8747645265972968084,8747645265972928831,61958,"120 ROUND AMETHYST LINEN",NR5x1,"2024-12-17 19:51:37","2024-12-17 19:51:37"
65590,8747645265972968085,8747645265972928831,61978,"120 ROUND APPLE GREEN NOVA SOLID",NR5x1,"2024-12-17 19:51:37","2024-12-17 19:51:37"
65591,8747645265972968086,8747645265972928831,61934,"120 ROUND BEIGE LINEN",NR5x1,"2024-12-17 19:51:37","2024-12-17 19:51:37"
