id_transactions, uuid_accounts_fk, scan_type, contract_number, client_name, notes, tag_id, rental_class_id, common_name, serial_number, location_of_repair, quality, bin_location, status, scan_date, scan_by, dirty_or_mud, leaves, oil, mold, stain, oxidation, other, rip_or_tear, sewing_repair_needed, grommet, rope, buckle, date_created, date_updated, long, lat, wet, service_required
1288136,8747645265972928831,Rental,1,TEST,,E28011606000020957BBBD9F,68317,"FROZEN DRINK MACHINE - OTC (6 AMP)",,,A,,"On Rent","2025-01-06 15:39:13",David,,,,,,,,,,,,,"2025-02-10 14:30:42","2025-02-10 14:30:42",0.0,0.0,,
1288137,8747645265972928831,Rental,Test,LAUNDRY,,2018022612774A021A902474,63133,"LEG BASE 24"" - 4 PRONG X",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288138,8747645265972928831,Rental,Test,LAUNDRY,,2018022612774A021A902475,63133,"LEG BASE 24"" - 4 PRONG X",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288139,8747645265972928831,Rental,Test,LAUNDRY,,2018022612774A021A902476,63133,"LEG BASE 24"" - 4 PRONG X",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288140,8747645265972928831,Rental,Test,LAUNDRY,,2018022612774A021A902477,63133,"LEG BASE 24"" - 4 PRONG X",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288141,8747645265972928831,Rental,Test,LAUNDRY,,2018022612774A021A902478,63133,"LEG BASE 24"" - 4 PRONG X",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288142,8747645265972928831,Rental,Test,LAUNDRY,,E2801191A50300608D114F8A,63131,"TOP, TABLE ROUND, 30 INCH PLYWOOD",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288143,8747645265972928831,Rental,Test,LAUNDRY,,E2801191A50300608D114FFA,63131,"TOP, TABLE ROUND, 30 INCH PLYWOOD",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288144,8747645265972928831,Rental,Test,LAUNDRY,,E2801191A50300608D11600A,63131,"TOP, TABLE ROUND, 30 INCH PLYWOOD",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
1288145,8747645265972928831,Rental,Test,LAUNDRY,,E2801191A50300608D11601A,63131,"TOP, TABLE ROUND, 30 INCH PLYWOOD",,,B,,"On Rent","2025-02-10 09:28:35",David,,,,,,,,,,,,,"2025-02-10 14:30:43","2025-02-10 14:30:43",0.0,0.0,,
